Date : 2025-04-20 17:18:04
Directory : c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]
Total : 117 files,  17889 codes, 1327 comments, 2661 blanks, all 21877 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Lua        |         71 |     11,322 |      1,157 |      1,716 |     14,195 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\tr.lua                             | Lua        |        198 |          0 |          1 |        199 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\server\main.lua                            | Lua        |         23 |          0 |          6 |         29 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\client\main.lua                            | Lua        |         78 |          9 |         47 |        134 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\client\objects.lua                         | Lua        |          0 |          0 |          1 |          1 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\config.lua                                 | Lua        |          6 |          0 |          7 |         13 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\fxmanifest.lua                             | Lua        |         24 |          0 |          4 |         28 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\server\main.lua                            | Lua        |          3 |          1 |          2 |          6 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\interactions.lua                    | Lua        |        142 |         20 |         14 |        176 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\job.lua                             | Lua        |          0 |        342 |         43 |        385 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\main.lua                            | Lua        |        150 |         10 |         53 |        213 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\objects.lua                         | Lua        |         95 |          3 |         11 |        109 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\sell-customer.lua                   | Lua        |        195 |         29 |         83 |        307 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\transformation.lua                  | Lua        |         46 |          5 |         35 |         86 |
