"filename", "language", "Lua", "HTML", "JavaScript", "CSS", "JSON", "XML", "vue", "Markdown", "comment", "blank", "total"
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\tailwind.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\server.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-bucheron\client.lua", "Lua", 600, 0, 0, 0, 0, 0, 0, 0, 110, 175, 885
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-bucheron\config.lua", "Lua", 78, 0, 0, 0, 0, 0, 0, 0, 10, 16, 104
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-bucheron\fxmanifest.lua", "Lua", 15, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-bucheron\log.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-bucheron\plank.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-bucheron\sell_and_construct.lua", "Lua", 34, 0, 0, 0, 0, 0, 0, 0, 3, 6, 43
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-bucheron\server.lua", "Lua", 122, 0, 0, 0, 0, 0, 0, 0, 10, 37, 169
